District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP,Class,,,,,,,,,,
T,Hanur,754,939,25,E,,,,,,,,,,
H,Hanur,754,820,9,N,,,,,,,,,,
H,Lokkanahalli,781,903,16,N,,,,,,,,,,
H,Ramapura,811,995,23,E,,,,,,,,,,
D,MYSURU,837,955,14,N,,,,,,,,,,
T,HEGGADADEVANAKOTE,837,983,18,N,,,,,,,,,,
H,Heggadadevanakote,837,960,15,N,,,,,,,,,,
H,Antarasante,1031,1046,1,N,,,,,,,,,,
H,Hampapura,764,877,15,N,,,,,,,,,,
T,Hunsur,799,938,17,N,,,,,,,,,,
H,Hunsur,799,908,14,N,,,,,,,,,,
H,Bilikere,764,951,24,E,,,,,,,,,,
H,Gowdargyare,767,941,23,E,,,,,,,,,,
H,Hanagoadu,976,944,-3,N,,,,,,,,,,
T,Krishnarajanagar,735,923,26,E,,,,,,,,,,
H,Krishnarajanagar,735,884,20,E,,,,,,,,,,
H,Chanachanakatte,698,956,37,E,,,,,,,,,,
H,Hebbalu,721,848,18,N,,,,,,,,,,
H,Hasa Agrahar,682,842,24,E,,,,,,,,,,
H,Mirale,690,978,42,E,,,,,,,,,,
H,Saligram,662,1002,51,E,,,,,,,,,,
T,Mysuru,810,1070,32,E,,,,,,,,,,
H,Mysuru,810,1122,38,E,,,,,,,,,,
H,Elivala,757,974,29,E,,,,,,,,,,
H,Jayapura,774,1083,40,E,,,,,,,,,,
H,Varuna,738,1083,47,E,,,,,,,,,,
T,Nanjanagud,730,847,16,N,,,,,,,,,,
H,Nanjangud,730,805,10,N,,,,,,,,,,
H,Biligere,726,869,20,E,,,,,,,,,,
H,Chikkayyana Chattra,732,1058,44,E,,,,,,,,,,
H,Hullahalli,788,778,-1,N,,,,,,,,,,
H,Doddakowlande,731,832,14,N,,,,,,,,,,
T,Periyapatna,852,987,16,N,,,,,,,,,,
H,Periyapatna,852,970,14,N,,,,,,,,,,
H,Bettadpur,770,993,29,E,,,,,,,,,,
H,Haranahalli,957,1079,13,N,,,,,,,,,,
H,Ravanduru,810,864,7,N,,,,,,,,,,
T,T.NARASIPURA,738,1006,36,E,,,,,,,,,,
H,T.Narasipur,738,1099,49,E,,,,,,,,,,
H,Bannur,721,1000,39,E,,,,,,,,,,
H,Muguru,781,894,14,N,,,,,,,,,,
H,Sosale,738,1092,48,E,,,,,,,,,,
H,Talakad,777,942,21,E,,,,,,,,,,
T,Saraguru,949,898,-5,N,,,,,,,,,,
H,Saraguru,949,860,-9,N,,,,,,,,,,
H,B.Matakere,937,923,-2,N,,,,,,,,,,
D,MANDYA,699,1011,45,E,,,,,,,,,,
T,Krishnarajapet,747,925,24,E,,,,,,,,,,
H,Krishnarajapet,747,945,26,E,,,,,,,,,,
H,Akkihebalu,699,784,12,N,,,,,,,,,,
H,Bukanakere,700,788,13,N,,,,,,,,,,
H,Kikkeri,719,856,19,N,,,,,,,,,,
H,Santebachahalli,652,1107,70,LE,,,,,,,,,,
H,Silanare,698,1050,51,E,,,,,,,,,,
T,Maddur,767,973,27,E,,,,,,,,,,
H,Madduru_2,767,1005,31,E,,,,,,,,,,
H,Koppa_2,883,959,9,N,,,,,,,,,,
H,Chikkaarasinakere_1,753,982,30,E,,,,,,,,,,
H,Autaguru,779,1146,47,E,,,,,,,,,,
H,Madduru_1,758,972,28,E,,,,,,,,,,
H,Koppa_2,739,990,34,E,,,,,,,,,,
H,Koppa_1,832,913,10,N,,,,,,,,,,
H,Koppa_3,769,968,26,E,,,,,,,,,,
H,Chikaarasinakere_2,742,797,7,N,,,,,,,,,,
H,Chikaarasinakere_3,734,734,0,N,,,,,,,,,,
T,Malavalli,703,973,39,E,,,,,,,,,,
H,Malavalli_1,703,925,32,E,,,,,,,,,,
H,Halaguru,799,980,23,E,,,,,,,,,,
H,Kirgavalu_1,719,1128,57,E,,,,,,,,,,
H,B G Pura_2,778,1024,32,E,,,,,,,,,,
H,Malavalli_2,748,864,15,N,,,,,,,,,,
H,Malavalli_3,772,839,9,N,,,,,,,,,,
H,Kirgavalu_2,721,935,30,E,,,,,,,,,,
H,Kirgavalu_3,719,1007,40,E,,,,,,,,,,
H,B G Pura_1,773,989,28,E,,,,,,,,,,
T,Mandya,699,1008,44,E,,,,,,,,,,
H,Mandya_1,699,930,33,E,,,,,,,,,,
H,Basaralu_1,610,999,64,LE,,,,,,,,,,
H,Dudda_1,649,1016,57,E,,,,,,,,,,
H,Keragodu_1,735,1263,72,LE,,,,,,,,,,
H,Kottatti_1,697,899,29,E,,,,,,,,,,
H,Mandya_2,737,920,25,E,,,,,,,,,,
H,Kottatti_2,709,941,33,E,,,,,,,,,,
H,Keragodu_2,747,1202,61,LE,,,,,,,,,,
H,Dudda_2,681,961,41,E,,,,,,,,,,
H,Basaralu_2,796,941,18,N,,,,,,,,,,
T,Nagamangala,765,1147,50,E,,,,,,,,,,
H,Nagamangala,765,1109,45,E,,,,,,,,,,
H,Belluru,520,1415,172,LE,,,,,,,,,,
H,Bendaganavele,556,1186,113,LE,,,,,,,,,,
H,Devalapura,692,1081,56,E,,,,,,,,,,
H,Honakere,465,980,111,LE,,,,,,,,,,
T,Pandavapura,679,1001,47,E,,,,,,,,,,
H,Pandavapura_1,679,971,43,E,,,,,,,,,,
H,Chinkurali,684,1022,49,E,,,,,,,,,,
H,Melukote,702,1013,44,E,,,,,,,,,,
H,Pandavapura_2,660,949,44,E,,,,,,,,,,
T,Srirangapatna,638,1006,58,E,,,,,,,,,,
H,Srirangapatna,638,1031,62,LE,,,,,,,,,,
H,Arakere,701,1038,48,E,,,,,,,,,,
H,Belagola,748,818,9,N,,,,,,,,,,
H,K Shettihalli_2,650,1070,65,LE,,,,,,,,,,
H,K Shettihalli_1,643,1084,69,LE,,,,,,,,,,
D,BALLARI,599,684,14,N,,,,,,,,,,
T,Ballari,516,710,38,E,,,,,,,,,,
H,Ballari,516,670,30,E,,,,,,,,,,
H,Moka,524,711,36,E,,,,,,,,,,
H,Rupanagudi,505,824,63,LE,,,,,,,,,,
H,Koluru,525,609,16,N,,,,,,,,,,
T,KUDLIGI,590,696,18,N,,,,,,,,,,
H,Kudligi,590,818,39,E,,,,,,,,,,
H,Gudekote,521,602,15,N,,,,,,,,,,
H,Hosahalli,504,742,47,E,,,,,,,,,,
T,Sandur,819,786,-4,N,,,,,,,,,,
H,Sandur,819,800,-2,N,,,,,,,,,,
H,Choranuru,627,824,31,E,,,,,,,,,,
H,Toranagallu,612,710,16,N,,,,,,,,,,
T,Siruguppa,675,631,-7,N,,,,,,,,,,
H,Siruguppa,675,633,-6,N,,,,,,,,,,
H,Hachcholli,655,634,-3,N,,,,,,,,,,
H,Karuru,563,677,20,E,,,,,,,,,,
H,Tekkalakote,630,597,-5,N,,,,,,,,,,
T,Kurugodu,499,616,23,E,,,,,,,,,,
H,Kurugodu,499,582,16,N,,,,,,,,,,
H,Koluru,514,667,30,E,,,,,,,,,,
D,KOPPALA,614,640,4,N,,,,,,,,,,
T,Gangavathi,583,589,1,N,,,,,,,,,,
H,Gangavathi,583,674,16,N,,,,,,,,,,
H,Marali,571,509,-11,N,,,,,,,,,,
H,Venkatagiri,586,582,-1,N,,,,,,,,,,
T,KOPPALA,635,727,14,N,,,,,,,,,,
H,Koppal,635,899,42,E,,,,,,,,,,
H,Alawandi,587,603,3,N,,,,,,,,,,
H,Hitnal,640,667,4,N,,,,,,,,,,
H,Irkalgada,627,706,13,N,,,,,,,,,,
T,Kushtagi,597,648,9,N,,,,,,,,,,
H,Kushtagi,597,633,6,N,,,,,,,,,,
H,Hanumanhal,658,654,-1,N,,,,,,,,,,
H,Hanamsagar,627,578,-8,N,,,,,,,,,,
H,Tavaragera,591,744,26,E,,,,,,,,,,
T,Yelburga,597,596,0,N,,,,,,,,,,
H,Yelburga,597,599,0,N,,,,,,,,,,
H,Hire Wankalkunti,595,615,3,N,,,,,,,,,,
T,Karatagi,640,551,-14,N,,,,,,,,,,
H,Karatgi,640,566,-12,N,,,,,,,,,,
H,Siddapur,593,539,-9,N,,,,,,,,,,
T,Kukanuru,693,617,-11,N,,,,,,,,,,
H,Kukanoor,693,600,-13,N,,,,,,,,,,
H,Manglur,630,658,4,N,,,,,,,,,,
T,Kanakagiri,525,590,12,N,,,,,,,,,,
H,Kanakagiri,525,580,10,N,,,,,,,,,,
H,Hulihaider,558,677,21,E,,,,,,,,,,
H,Nauli,595,548,-8,N,,,,,,,,,,
D,RAICHUR,654,624,-5,N,,,,,,,,,,
T,Deodurga,759,567,-25,D,,,,,,,,,,
H,Devadurga,759,643,-15,N,,,,,,,,,,
H,Arakeri,658,491,-25,D,,,,,,,,,,
H,Gabbur,683,565,-17,N,,,,,,,,,,
H,Jalihalli,690,548,-21,D,,,,,,,,,,
T,Lingsugur,631,643,2,N,,,,,,,,,,
H,Lingasuguru,631,670,6,N,,,,,,,,,,
H,Gurgunta,622,628,1,N,,,,,,,,,,
H,Mudgal,624,642,3,N,,,,,,,,,,
T,Manvi,652,656,1,N,,,,,,,,,,
H,Manvi,652,614,-6,N,,,,,,,,,,
H,Hire Katankal,644,780,21,E,,,,,,,,,,
H,Kurdi,663,590,-11,N,,,,,,,,,,
T,Raichur,736,601,-18,N,,,,,,,,,,
H,Raichur,736,628,-15,N,,,,,,,,,,
H,Chandrabanda,733,571,-22,D,,,,,,,,,,
H,Devarsugur,723,586,-19,N,,,,,,,,,,
H,Gilasuguru,610,563,-8,N,,,,,,,,,,
H,Kalmali,678,624,-8,N,,,,,,,,,,
H,Yergara,763,632,-17,N,,,,,,,,,,
